data_coleta,data_checkin,data_checkout,noites,hospedes,produto_villa_referencia,unidade_villa_referencia,concorrente,canal,link,disponivel,preco_total_visivel_canal,preco_diaria_visivel_canal,taxas_inclusas,minimo_noites,observacoes,preco_diaria_motor_equivalente,status
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Hotel/Pousada Atalaia do Mariscal,Booking,https://www.booking.com/hotel/br/pousada-atalaia-do-mariscal.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 1 (teto de mercado). Booking exibe: 'Não temos disponibilidade aqui de sex., 4 de set. de 2026 a ter., 8 de set. de 2026.' Todas as categorias indisponíveis, incluindo a âncora (Suíte Superior). O site ofereceu datas alternativas (11-13/09, 2 diárias, a partir de R$ 1.561; e 4-7/09, 3 diárias, a partir de R$ 3.512) — não usadas por não corresponderem ao período de 4 noites pedido.",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Boa Vida,Booking,https://www.booking.com/hotel/br/vila-boa-vida.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.271,00","R$ 423,67",SIM,"não informado","Rodada 2 (feriado 12 de Outubro). Âncora: Quarto Duplo Standard.","R$ 338,93",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Maciel,Booking,https://www.booking.com/hotel/br/villa-maciel-bombinhas.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 840,00 (com 20% de desconto ativo; original R$ 1.050,00)","R$ 280,00",SIM,"não informado","Rodada 2. Âncora: Apartamento Standard. Preço com desconto promocional ativo no momento da coleta.","R$ 224,00",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kaloa Eco Village,Booking,https://www.booking.com/hotel/br/pousada-kaloa-eco-village.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.462,00","R$ 487,33",SIM,"não informado","Rodada 2. Âncora: Suíte Standard.","R$ 389,87",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Riviera Bombinhas,Booking,https://www.booking.com/hotel/br/pousada-riviera-bombinhas.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.458,00","R$ 486,00",SIM,"não informado","Rodada 2. Âncora: Suíte Loft Riviera.","R$ 388,80",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada dos Ingleses,Booking,https://www.booking.com/hotel/br/pousada-dos-ingleses.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 970,00 (R$ 850,00 + R$ 120,00 de impostos/taxas exibidos à parte)","R$ 323,33",NAO (taxas separadas neste site — já somadas ao total acima),"não informado","Rodada 2. Âncora: Quarto Duplo Clássico.","R$ 258,67",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Dom Capudi,Booking,https://www.booking.com/hotel/br/pousada-dom-capudi.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.354,00","R$ 451,33",SIM,"não informado","Rodada 2. Âncora: Quarto Duplo. Disponível nesta rodada (estava esgotado na Rodada 1).","R$ 361,07",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kia Ora Bombinhas,Booking,https://www.booking.com/hotel/br/kia-ora-bombinhas.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 2.006,00","R$ 668,67",SIM,"não informado","Rodada 2. Âncora: Quarto Duplo Deluxe com Vista Lateral do Mar (plano de cancelamento mais barato entre 2 opções da mesma categoria).","R$ 534,93",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Morada do Guaruça,Booking,https://www.booking.com/hotel/br/morada-do-guaruca.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.835,00","R$ 611,67",SIM,"não informado","Rodada 2 (ampliada). Âncora: Apartamento de 1 Quarto. Disponível nesta rodada (estava esgotada na Rodada 1).","R$ 489,33",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),UP Hotel Boutique,Booking,https://www.booking.com/hotel/br/up-boutique.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.744,00","R$ 581,33",SIM,"não informado","Rodada 2 (ampliada). Âncora: Quarto Duplo Deluxe com Banheira (plano de cancelamento mais barato entre 2 opções da mesma categoria).","R$ 465,07",COLETADO_COM_SUCESSO
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Hotel/Pousada Atalaia do Mariscal,Booking,https://www.booking.com/hotel/br/pousada-atalaia-do-mariscal.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 4.800,00","R$ 1.600,00",SIM,"não informado","Rodada 2 (teto de mercado). Âncora: Suíte Superior. Disponível nesta rodada (estava esgotado na Rodada 1) — referência, não entra em nenhuma média.","R$ 1.280,00",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Boa Vida,Booking,https://www.booking.com/hotel/br/vila-boa-vida.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.373,00","R$ 457,67",SIM,"não informado","Rodada 3 (feriado de Finados, 30/10-02/11). Âncora: Quarto Duplo Standard.","R$ 366,13",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Maciel,Booking,https://www.booking.com/hotel/br/villa-maciel-bombinhas.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 840,00 (com 20% de desconto ativo; original R$ 1.050,00)","R$ 280,00",SIM,"não informado","Rodada 3. Âncora: Apartamento Standard. Preço com desconto promocional ativo no momento da coleta.","R$ 224,00",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kaloa Eco Village,Booking,https://www.booking.com/hotel/br/pousada-kaloa-eco-village.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.510,00","R$ 503,33",SIM,"não informado","Rodada 3. Âncora: Suíte Standard.","R$ 402,67",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Riviera Bombinhas,Booking,https://www.booking.com/hotel/br/pousada-riviera-bombinhas.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.568,00","R$ 522,67",SIM,"não informado","Rodada 3. Âncora: Suíte Loft Riviera.","R$ 418,13",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kia Ora Bombinhas,Booking,https://www.booking.com/hotel/br/kia-ora-bombinhas.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 3. Booking exibe: 'Não temos disponibilidade aqui de sex., 30 de out. de 2026 a seg., 2 de nov. de 2026.' Todas as categorias indisponíveis, incluindo a âncora (Quarto Duplo Deluxe com Vista Lateral do Mar).",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada dos Ingleses,Booking,https://www.booking.com/hotel/br/pousada-dos-ingleses.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 829,00 (R$ 709,00 + R$ 120,00 de impostos/taxas exibidos à parte)","R$ 276,33",NAO (taxas separadas neste site — já somadas ao total acima),"não informado","Rodada 3. Âncora: Quarto Duplo Clássico.","R$ 221,07",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Dom Capudi,Booking,https://www.booking.com/hotel/br/pousada-dom-capudi.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.354,00","R$ 451,33",SIM,"não informado","Rodada 3. Âncora: Quarto Duplo (plano mais barato entre 2 opções da mesma categoria).","R$ 361,07",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Morada do Guaruça,Booking,https://www.booking.com/hotel/br/morada-do-guaruca.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.835,00","R$ 611,67",SIM,"não informado","Rodada 3 (ampliada). Âncora: Apartamento de 1 Quarto.","R$ 489,33",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),UP Hotel Boutique,Booking,https://www.booking.com/hotel/br/up-boutique.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 2.291,00 (7% off; original R$ 2.464,00)","R$ 763,67",SIM,"não informado","Rodada 3 (ampliada). Âncora: Quarto Duplo Deluxe com Banheira (plano mais barato entre 2 opções da mesma categoria).","R$ 610,93",COLETADO_COM_SUCESSO
2026-07-26,2026-10-30,2026-11-02,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Hotel/Pousada Atalaia do Mariscal,Booking,https://www.booking.com/hotel/br/pousada-atalaia-do-mariscal.pt-br.html?checkin=2026-10-30&checkout=2026-11-02&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 4.500,00","R$ 1.500,00",SIM,"não informado","Rodada 3 (teto de mercado). Âncora: Suíte Superior. Referência, não entra em nenhuma média.","R$ 1.200,00",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Boa Vida,Booking,https://www.booking.com/hotel/br/vila-boa-vida.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.575,00","R$ 525,00",SIM,"não informado","Rodada 4 (feriado forte 19-21/11, Consciência Negra). Âncora: Quarto Duplo Standard.","R$ 420,00",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Maciel,Booking,https://www.booking.com/hotel/br/villa-maciel-bombinhas.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.032,00 (com 20% de desconto ativo; original R$ 1.290,00)","R$ 344,00",SIM,"não informado","Rodada 4. Âncora: Apartamento Standard. Preço com desconto promocional ativo no momento da coleta.","R$ 275,20",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kaloa Eco Village,Booking,https://www.booking.com/hotel/br/pousada-kaloa-eco-village.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.608,00","R$ 536,00",SIM,"não informado","Rodada 4. Âncora: Suíte Standard.","R$ 428,80",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Riviera Bombinhas,Booking,https://www.booking.com/hotel/br/pousada-riviera-bombinhas.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 2.269,00","R$ 756,33",SIM,"não informado","Rodada 4. Âncora: Suíte Loft Riviera.","R$ 605,07",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kia Ora Bombinhas,Booking,https://www.booking.com/hotel/br/kia-ora-bombinhas.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 2.195,00","R$ 731,67",SIM,"não informado","Rodada 4. Âncora: Quarto Duplo Deluxe com Vista Lateral do Mar (plano mais barato entre 2 opções da mesma categoria).","R$ 585,33",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada dos Ingleses,Booking,https://www.booking.com/hotel/br/pousada-dos-ingleses.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 4. A âncora aprovada (Quarto Duplo Clássico) não aparece entre as categorias disponíveis para este período — provavelmente esgotada. Outras categorias mais caras seguem à venda (Chalé Master R$ 1.101 + R$ 120 taxas; Suíte R$ 1.373 + R$ 120 taxas; Quarto Duplo Básico R$ 1.428 + R$ 120 taxas, todas 3 diárias), mas não são a âncora aprovada — não usadas como coleta válida.",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Dom Capudi,Booking,https://www.booking.com/hotel/br/pousada-dom-capudi.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 4. A âncora aprovada (Quarto Duplo) não aparece entre as categorias disponíveis para este período — provavelmente esgotada. Outras categorias mais caras seguem à venda (Suíte Premium R$ 1.539; Suíte com Vista do Jardim R$ 1.753; Quarto Triplo Standard R$ 1.710, todas 3 diárias), mas não são a âncora aprovada — não usadas como coleta válida.",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Morada do Guaruça,Booking,https://www.booking.com/hotel/br/morada-do-guaruca.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 2.122,00","R$ 707,33",SIM,"não informado","Rodada 4 (ampliada). Âncora: Apartamento de 1 Quarto.","R$ 565,87",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),UP Hotel Boutique,Booking,https://www.booking.com/hotel/br/up-boutique.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.977,00 (7% off; original R$ 2.126,00)","R$ 659,00",SIM,"não informado","Rodada 4 (ampliada). Âncora: Quarto Duplo Deluxe com Banheira (plano mais barato entre 2 opções da mesma categoria).","R$ 527,20",COLETADO_COM_SUCESSO
2026-07-26,2026-11-19,2026-11-22,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Hotel/Pousada Atalaia do Mariscal,Booking,https://www.booking.com/hotel/br/pousada-atalaia-do-mariscal.pt-br.html?checkin=2026-11-19&checkout=2026-11-22&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 3.900,00","R$ 1.300,00",SIM,"não informado","Rodada 4 (teto de mercado). Âncora: Suíte Superior. Referência, não entra em nenhuma média. Booking exibia aviso: 'Oferta limitada em Bombinhas nas suas datas: 6 hotéis 4 estrelas como este já estão indisponíveis no nosso site' — forte sinal de demanda regional.","R$ 1.040,00",COLETADO_COM_SUCESSO
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Boa Vida,Booking,https://www.booking.com/hotel/br/vila-boa-vida.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.050,00","R$ 525,00",SIM,"não informado","Rodada 5A (fim de semana comum de novembro). Âncora: Quarto Duplo Standard.","R$ 420,00",COLETADO_COM_SUCESSO
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Maciel,Booking,https://www.booking.com/hotel/br/villa-maciel-bombinhas.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 608,00 (com 20% de desconto ativo; original R$ 760,00)","R$ 304,00",SIM,"não informado","Rodada 5A. Âncora: Apartamento Standard. Preço com desconto promocional ativo no momento da coleta.","R$ 243,20",COLETADO_COM_SUCESSO
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kaloa Eco Village,Booking,https://www.booking.com/hotel/br/pousada-kaloa-eco-village.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.072,00","R$ 536,00",SIM,"não informado","Rodada 5A. Âncora: Suíte Standard.","R$ 428,80",COLETADO_COM_SUCESSO
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Riviera Bombinhas,Booking,https://www.booking.com/hotel/br/pousada-riviera-bombinhas.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 5A. Booking exibe: 'Não temos disponibilidade aqui de sex., 6 de nov. de 2026 a dom., 8 de nov. de 2026.' Todas as categorias indisponíveis, incluindo a âncora (Suíte Loft Riviera).",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada dos Ingleses,Booking,https://www.booking.com/hotel/br/pousada-dos-ingleses.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 839,00 (R$ 719,00 + R$ 120,00 de impostos/taxas exibidos à parte)","R$ 419,50",NAO (taxas separadas neste site — já somadas ao total acima),"não informado","Rodada 5A. Âncora: Quarto Duplo Clássico.","R$ 335,60",COLETADO_COM_SUCESSO
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Dom Capudi,Booking,https://www.booking.com/hotel/br/pousada-dom-capudi.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 903,00","R$ 451,50",SIM,"não informado","Rodada 5A. Âncora: Quarto Duplo (plano mais barato entre 2 opções da mesma categoria).","R$ 361,20",COLETADO_COM_SUCESSO
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kia Ora Bombinhas,Booking,https://www.booking.com/hotel/br/kia-ora-bombinhas.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.024,00","R$ 512,00",SIM,"não informado","Rodada 5A. Âncora: Quarto Duplo Deluxe com Vista Lateral do Mar (plano mais barato entre 2 opções da mesma categoria).","R$ 409,60",COLETADO_COM_SUCESSO
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),Morada do Guaruça,Booking,https://www.booking.com/hotel/br/morada-do-guaruca.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 5A. Âncora aprovada (Apartamento de 1 Quarto) não aparecia entre as categorias disponíveis — provável esgotamento. Outras categorias mais caras seguiam à venda (Apartamento Standard, Apartamento Duplex), não usadas por não serem a âncora aprovada.",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-27,2026-11-06,2026-11-08,2,2,Pousada Arágua,base (Organic/Fuego/Metallo),UP Hotel Boutique,Booking,https://www.booking.com/hotel/br/up-boutique.pt-br.html?checkin=2026-11-06&checkout=2026-11-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.252,00 (5% off; original R$ 1.318,00)","R$ 626,00",SIM,"não informado","Rodada 5A (ampliada). Âncora: Quarto Duplo Deluxe com Banheira (plano mais barato entre 2 opções da mesma categoria).","R$ 500,80",COLETADO_COM_SUCESSO
